CustomerKey,Frequency,Monetary,total_quantity,Recency,avg_order_amount,Future_Frequency,Future_Monetary,Future_Quantity,Buy,favorite_category_Accessories,favorite_category_Bikes,favorite_category_Clothing,main_region_Australia,main_region_Canada,main_region_Central,main_region_France,main_region_Germany,main_region_Northeast,main_region_Northwest,main_region_Southeast,main_region_Southwest,main_region_United Kingdom
11000,8,8248.99,8,89,1031.12375,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11001,7,5794.919999999999,7,196,827.8457142857142,4.0,588.96,4.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
11002,4,8114.04,4,158,2028.51,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11003,9,8139.29,9,82,904.3655555555556,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11004,6,8196.01,6,91,1366.0016666666668,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11005,6,8121.33,6,90,1353.555,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11006,5,8119.03,5,78,1623.806,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11007,8,8211.0,8,134,1026.375,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11008,7,8106.3099999999995,7,151,1158.0442857142857,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11009,5,8091.33,5,83,1618.266,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11010,4,8088.04,4,69,2022.01,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11011,4,8133.04,4,134,2033.26,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11012,3,74.98,3,137,24.993333333333336,2.0,6.28,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
11013,2,38.980000000000004,2,109,19.490000000000002,3.0,74.98,3.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
11014,6,138.45000000000002,6,92,23.075000000000003,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11015,3,2500.97,3,194,833.6566666666666,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11016,3,2332.2799999999997,3,172,777.4266666666666,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11017,3,5691.959999999999,3,211,1897.3199999999997,1.0,742.35,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
11018,3,5741.959999999999,3,196,1913.9866666666665,4.0,791.32,4.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
11019,15,342.47,15,8,22.831333333333337,18.0,540.23,18.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
11020,2,2316.97,2,214,1158.485,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11021,3,2371.9599999999996,3,189,790.6533333333332,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11022,2,2322.2799999999997,2,192,1161.1399999999999,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11023,4,115.96000000000001,4,164,28.990000000000002,2.0,6.28,2.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
11024,6,56.510000000000005,6,5,9.418333333333335,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11025,4,5780.459999999999,4,192,1445.1149999999998,2.0,796.34,2.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
11026,4,5799.459999999999,4,126,1449.8649999999998,3.0,776.33,3.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
11027,5,5812.95,5,69,1162.59,4.0,778.62,4.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
11028,4,5732.2699999999995,4,79,1433.0674999999999,1.0,742.35,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
11029,4,5808.959999999999,4,91,1452.2399999999998,3.0,756.33,3.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
11030,2,5719.98,2,7,2859.99,2.0,751.34,2.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
11031,3,5722.2699999999995,3,16,1907.4233333333332,3.0,756.33,3.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
11032,1,3374.99,1,888,3374.99,9.0,3150.5699999999997,9.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
