CustomerKey,Buy_Label,Purchase_Probability,Predicted_Sales_Amount,Marketing_Cost,Expected_Profit
12296,1,1.0,13181.272181999986,5000,8181.272181999986
12124,1,1.0,13175.15798199999,5000,8175.15798199999
12131,1,1.0,13002.259524999987,5000,8002.259524999987
12301,1,0.99,13035.190363999985,5000,7904.838460359986
12307,1,1.0,12870.856199999975,5000,7870.856199999975
12308,1,1.0,12671.17950900001,5000,7671.1795090000105
12132,1,1.0,12559.018153000014,5000,7559.018153000014
11433,1,0.96,12870.95438299998,5000,7356.116207679981
12300,1,0.99,12019.501849999984,5000,6899.306831499984
12321,1,1.0,10924.38415700001,5000,5924.3841570000095
11242,1,0.99,10894.204459000015,5000,5785.2624144100155
11417,1,1.0,10607.138884999995,5000,5607.138884999995
11439,1,1.0,10563.909376000005,5000,5563.909376000005
11420,1,1.0,10532.172938999996,5000,5532.172938999996
11423,1,1.0,10286.954745999985,5000,5286.954745999985
11241,1,1.0,10283.153370999995,5000,5283.153370999995
11429,1,1.0,10265.95725499999,5000,5265.95725499999
11425,1,0.99,10264.697076999995,5000,5162.050106229995
11245,1,1.0,10069.399102999989,5000,5069.399102999989
11427,1,1.0,9894.912527999993,5000,4894.9125279999935
11412,1,1.0,9819.574487999995,5000,4819.574487999995
11431,1,1.0,9807.731717,5000,4807.731717000001
11249,1,1.0,9782.891617000005,5000,4782.891617000005
11428,1,1.0,9631.958328000006,5000,4631.958328000006
11237,1,0.97,9851.837900000004,5000,4556.282763000003
11246,1,0.98,9712.739699999987,5000,4518.484905999987
13577,1,0.97,9583.437617000005,5000,4295.934488490004
13595,1,0.97,9545.17759999999,5000,4258.82227199999
13257,1,1.0,9258.635534000005,5000,4258.635534000005
14200,1,0.98,9267.000029999988,5000,4081.660029399989
13258,1,1.0,8970.849449000014,5000,3970.849449000014
11432,1,1.0,8964.66963800001,5000,3964.6696380000103
12125,1,1.0,8655.79332700001,5000,3655.7933270000103
12129,1,1.0,8521.570283000008,5000,3521.570283000008
12128,1,0.99,8595.652821000009,5000,3509.6962927900095
14427,1,0.99,8558.338931000006,5000,3472.755541690005
11421,1,0.93,9032.64123800001,5000,3400.3563513400095
11750,1,1.0,8150.796700000009,5000,3150.796700000009
12302,1,0.99,8206.789766999998,5000,3124.7218693299983
15106,1,0.97,8375.578900000011,5000,3124.311533000011
11488,1,1.0,8106.564799999997,5000,3106.5647999999974
11919,1,0.99,8178.322900000008,5000,3096.5396710000077
11916,1,0.99,8176.949800000007,5000,3095.180302000006
11351,1,1.0,8093.037000000006,5000,3093.0370000000057
11151,1,1.0,8092.338500000015,5000,3092.3385000000153
11491,1,1.0,8091.320350000005,5000,3091.3203500000054
15118,1,0.98,8251.51745000002,5000,3086.487101000019
11756,1,1.0,8078.46380000001,5000,3078.4638000000105
12291,1,0.99,8153.7527530000025,5000,3072.215225470002
11990,1,0.99,8153.440182000005,5000,3071.9057801800045
11920,1,1.0,8061.776812999992,5000,3061.776812999992
11915,1,0.99,8137.531724999999,5000,3056.156407749999
11901,1,0.98,8215.263525000006,5000,3050.9582545000058
11111,1,0.99,8132.001124999999,5000,3050.681113749999
11912,1,0.99,8110.38569999999,5000,3029.2818429999897
11917,1,0.99,8098.428849999992,5000,3017.4445614999922
11147,1,0.98,8177.7286250000025,5000,3014.1740525000023
12297,1,0.99,8093.718660000001,5000,3012.7814734000012
11914,1,0.98,8164.902799999998,5000,3001.6047439999975
11381,1,0.98,8157.365175000017,5000,2994.2178715000164
11908,1,0.99,8065.014296000011,5000,2984.364153040011
11994,1,0.98,8143.983996000016,5000,2981.1043160800155
11482,1,0.98,8143.299200000018,5000,2980.4332160000167
11991,1,0.98,8133.167500000003,5000,2970.5041500000034
11995,1,0.97,8214.529025000003,5000,2968.093154250003
11918,1,0.97,8204.463599999995,5000,2958.3296919999957
12001,1,0.98,8115.55200000001,5000,2953.240960000009
11993,1,1.0,7948.568065999996,5000,2948.568065999996
12009,1,0.97,8193.073200000003,5000,2947.281004000002
11112,1,0.96,8270.34460000001,5000,2939.5308160000086
12000,1,0.97,8181.322799999998,5000,2935.883115999998
11120,1,0.96,8259.264901999997,5000,2928.8943059199974
11976,1,0.98,8083.1473250000145,5000,2921.484378500014
11472,1,0.97,8159.825399999994,5000,2915.030637999994
11969,1,0.97,8157.140125000011,5000,2912.42592125001
11963,1,0.98,8068.686296000009,5000,2907.3125700800083
12298,1,0.99,7982.313048000011,5000,2902.4899175200107
12330,1,0.99,7958.454973000011,5000,2878.87042327001
13255,1,1.0,7846.879524999993,5000,2846.879524999993
12130,1,0.99,7919.974840000009,5000,2840.7750916000086
11968,1,0.97,8078.050000000012,5000,2835.7085000000116
11443,1,0.95,8222.503200000001,5000,2811.3780400000005
15695,1,0.94,8265.963499999998,5000,2770.005689999998
11986,1,0.94,8261.79177799999,5000,2766.08427131999
11110,1,0.96,8089.284025000013,5000,2765.7126640000115
11489,1,0.97,7998.4094820000055,5000,2758.457197540005
12338,1,0.94,8244.0696,5000,2749.425424
14429,1,0.91,8461.98032500001,5000,2700.402095750009
11897,1,0.94,8186.326000000006,5000,2695.146440000006
13259,1,1.0,7686.881853999999,5000,2686.8818539999993
12314,1,1.0,7678.569162000007,5000,2678.569162000007
11977,1,0.93,8206.783199999998,5000,2632.308375999998
12657,1,1.0,7566.251300000006,5000,2566.2513000000063
13256,1,0.99,7549.942613999994,5000,2474.4431878599944
11992,1,0.92,8120.087600000016,5000,2470.4805920000153
15678,1,1.0,7408.750605999998,5000,2408.750605999998
17221,1,0.99,7372.774830000009,5000,2299.0470817000096
16589,1,1.0,7298.371124999997,5000,2298.371124999997
16594,1,1.0,7288.615899999996,5000,2288.615899999996
15093,1,1.0,7286.210800000006,5000,2286.210800000006
13580,1,0.99,7347.523899999995,5000,2274.0486609999944
16830,1,1.0,7266.4663000000055,5000,2266.4663000000055
13264,1,1.0,7259.648425000012,5000,2259.648425000012
13265,1,1.0,7256.269425000011,5000,2256.2694250000113
15095,1,1.0,7254.6698499999975,5000,2254.6698499999975
17184,1,1.0,7253.055499999996,5000,2253.055499999996
13406,1,0.99,7325.570980000005,5000,2252.315270200005
16822,1,1.0,7247.292,5000,2247.2920000000004
16823,1,1.0,7244.244099999994,5000,2244.2440999999944
15623,1,1.0,7244.229099999996,5000,2244.229099999996
19031,1,1.0,7239.506000000001,5000,2239.506000000001
13579,1,1.0,7232.734698000004,5000,2232.734698000004
16207,1,1.0,7229.556399999998,5000,2229.5563999999977
15676,1,1.0,7228.743800000004,5000,2228.743800000004
16831,1,1.0,7228.687399999999,5000,2228.687399999999
13784,1,1.0,7222.468145999991,5000,2222.468145999991
13792,1,1.0,7217.418499999996,5000,2217.418499999996
