CustomerKey,Recency,Frequency,Monetary
12301,55,13,13295.38
12132,89,14,13294.27
12308,56,14,13269.27
12131,96,11,13265.99
12300,89,10,13242.699999999999
12321,54,15,13215.65
12124,99,12,13195.64
12307,58,11,13173.189999999999
12296,81,12,13164.64
11433,122,12,12909.6682
11439,86,14,12489.1696
11241,77,25,11469.1882
11417,30,17,11248.458200000001
11420,46,17,11200.7696
11242,41,12,11068.0082
12655,211,11,10899.619999999999
13263,192,12,10872.06
12323,244,11,10836.9
12333,223,11,10829.22
12650,203,9,10813.63
12631,221,11,10799.52
12632,212,6,10793.27
12332,204,10,10789.529999999999
13405,174,11,10778.609999999999
11245,34,9,10580.35
11246,25,7,10575.33
11237,50,6,10566.38
11425,24,15,10528.6282
11429,21,17,10468.3796
11428,84,12,9954.26
11427,86,9,9917.99
11431,106,11,9912.98
11423,86,10,9904.97
11249,121,11,9890.27
11412,95,11,9879.96
14186,155,10,9796.32
11421,97,4,9780.04
13592,156,7,9695.73
13605,166,7,9614.73
14185,167,13,9523.002499999999
13575,164,13,9458.182499999999
14192,164,10,9451.912499999999
13577,151,11,9450.3225
14200,108,10,9421.9125
13595,152,9,9390.5325
11432,20,16,9330.1996
13257,39,9,8941.28
13258,31,10,8886.53
12128,41,9,8681.1082
12125,58,10,8595.409599999999
12129,20,9,8557.4096
13600,195,11,8460.25
14427,140,10,8451.26
15106,153,8,8421.279999999999
14775,223,8,8404.279999999999
14429,151,6,8394.289999999999
15692,167,7,8392.3
15097,164,9,8377.09
13602,198,8,8376.28
13583,222,8,8375.289999999999
13581,219,8,8374.789999999999
13585,179,6,8368.289999999999
14940,182,8,8367.55
14939,201,7,8367.3
14207,211,6,8361.3
13584,172,7,8361.289999999999
13591,188,9,8355.27
14830,229,8,8346.279999999999
15691,165,7,8341.29
14425,217,6,8332.3
13576,207,7,8330.789999999999
14181,200,5,8326.31
15695,142,8,8324.24
14428,185,5,8321.31
14183,171,5,8321.31
11767,186,7,8319.51
14426,212,6,8319.3
14189,218,4,8317.32
14195,163,7,8316.289999999999
14198,221,7,8308.59
13590,176,6,8306.3
15080,189,6,8305.3
15118,147,5,8301.31
14191,183,5,8301.31
15354,160,6,8297.29
11112,134,6,8295.02
11766,188,11,8280.48
12338,150,8,8265.0
11101,199,7,8262.52
11900,187,7,8257.01
12003,157,8,8256.5
11451,223,9,8249.49
11995,35,7,8249.01
11000,256,8,8248.99
11058,224,6,8248.019999999999
11901,66,7,8248.01
11986,140,11,8245.23
11109,204,8,8245.01
11120,117,10,8242.49
11446,207,7,8237.01
11443,105,8,8235.0
11762,192,7,8228.01
11456,228,11,8224.46
11054,229,6,8223.02
11894,192,9,8223.0
11343,174,9,8221.99
11099,197,9,8215.99
11751,181,6,8215.02
11904,197,7,8214.5
12039,161,9,8213.0
11977,152,8,8212.5
11457,227,10,8211.48
11007,301,8,8211.0
11056,228,8,8207.5
11918,50,8,8204.99
11080,205,7,8204.019999999999
12010,161,8,8203.5
11897,92,6,8203.019999999999
11004,258,6,8196.01
12009,154,7,8195.5
11147,90,7,8195.5
11072,213,7,8194.0
11341,179,8,8192.0
11899,190,7,8189.5
11117,203,8,8184.99
11452,216,5,8183.04
12000,152,8,8183.0
11103,222,8,8182.5
11093,220,7,8180.0
11898,175,6,8179.03
11916,146,7,8178.509999999999
11453,209,6,8176.98
11964,158,6,8173.53
11450,211,9,8173.259999999999
11104,213,6,8173.03
11969,151,6,8173.0199999999995
11100,160,7,8172.509999999999
11919,24,8,8171.5199999999995
11107,207,6,8171.009999999999
11994,144,5,8169.03
11077,216,5,8169.03
11952,160,7,8168.999999999999
11055,221,8,8168.009999999999
11914,144,8,8165.959999999999
11472,80,6,8165.82
11070,202,10,8165.55
11990,145,7,8164.009999999999
11754,168,5,8163.53
11333,184,6,8163.3099999999995
11337,179,8,8161.999999999999
11394,165,7,8161.969999999999
11381,149,5,8161.0199999999995
11076,207,4,8159.039999999999
11465,185,4,8158.04
11491,129,7,8158.009999999999
11095,203,7,8158.009999999999
11920,34,7,8156.32
11905,192,7,8155.98
11334,171,6,8154.0199999999995
11967,160,6,8153.0199999999995
11060,203,6,8153.0199999999995
11906,186,7,8151.0
11761,169,8,8149.49
11895,173,5,8149.04
11750,105,6,8148.0199999999995
12002,164,6,8145.33
11765,172,5,8143.03
11482,126,5,8143.03
11915,143,8,8142.999999999999
11455,228,5,8142.03
11459,210,5,8141.33
11989,161,5,8139.53
11003,249,9,8139.29
11768,184,4,8139.04
11460,218,6,8137.5199999999995
12337,159,7,8137.009999999999
11111,145,8,8136.999999999999
11444,226,5,8136.0199999999995
11907,178,5,8135.33
11011,301,4,8133.04
11448,207,7,8132.009999999999
11052,232,7,8131.32
11993,22,7,8131.32
11449,204,7,8130.32
11061,214,6,8129.0199999999995
11764,191,6,8129.0199999999995
11124,210,6,8129.0199999999995
11464,197,7,8128.509999999999
11991,26,6,8128.0199999999995
11489,108,7,8127.509999999999
11108,205,5,8124.04
11893,175,5,8123.03
11992,34,5,8123.03
11917,148,6,8121.33
11005,257,6,8121.33
11344,175,7,8119.8099999999995
11892,176,5,8119.03
11006,245,5,8119.03
11896,187,6,8117.969999999999
11462,173,5,8116.33
12004,159,4,8114.04
11002,325,4,8114.04
11398,165,4,8114.04
11910,164,5,8113.03
12001,153,7,8113.009999999999
11092,207,5,8110.0199999999995
11903,185,4,8108.04
11008,318,7,8106.3099999999995
11909,166,7,8105.3099999999995
11069,224,3,8104.049999999999
11097,174,5,8099.03
11445,200,5,8098.03
11105,223,5,8095.99
11912,53,6,8095.32
11110,147,5,8093.03
12302,19,12,8091.8895999999995
11009,250,5,8091.33
11488,137,5,8090.33
11461,177,4,8089.04
11454,210,4,8089.04
11010,236,4,8088.04
11057,238,4,8088.04
11151,86,6,8087.3099999999995
11976,142,6,8087.3099999999995
11106,213,3,8079.049999999999
11908,144,3,8079.049999999999
11968,150,3,8079.049999999999
11353,159,6,8078.0199999999995
11988,161,6,8078.0199999999995
11756,81,6,8078.0199999999995
11447,228,6,8078.0199999999995
11963,144,5,8068.03
11351,139,5,8068.03
11075,204,5,8068.03
12291,55,11,8067.8996
11096,168,4,8063.039999999999
11759,189,3,8054.049999999999
12298,34,10,8053.4096
12297,66,11,8022.5782
12314,17,8,7997.9196
12130,61,10,7987.9096
12330,21,10,7933.4096
13259,57,14,7853.49
11240,246,13,7586.23
11238,259,9,7542.7699999999995
11239,231,11,7511.549999999999
13256,20,13,7494.8796
13255,43,12,7393.0581999999995
12657,22,8,7384.0982
16589,119,6,7343.69
13406,58,9,7300.55
13579,57,10,7295.04
17221,148,13,7292.3099999999995
13580,18,7,7285.57
17114,66,9,7275.36
15093,65,7,7265.65
13264,99,8,7265.5599999999995
13265,70,8,7259.5599999999995
15095,36,6,7255.66
17184,150,8,7253.349999999999
15623,113,7,7246.87
16263,117,7,7243.36
16823,112,8,7242.349999999999
13260,154,8,7239.5599999999995
16196,140,7,7237.36
17198,146,7,7233.36
15357,183,7,7232.37
16594,134,7,7231.37
15085,185,6,7229.37
19031,34,6,7226.379999999999
16207,134,7,7226.37
15676,102,7,7224.68
15678,99,10,7223.339999999999
16821,148,9,7221.349999999999
13792,23,7,7216.08
15116,189,7,7212.86
13794,33,9,7212.0599999999995
17214,75,5,7211.389999999999
14791,206,9,7210.849999999999
15675,153,7,7206.38
16831,89,7,7206.37
16827,84,8,7205.36
16565,70,8,7203.66
16206,142,8,7203.349999999999
15677,90,8,7200.86
13261,106,6,7200.58
18166,34,7,7200.37
13606,18,6,7195.58
16585,115,5,7192.389999999999
11414,121,10,7191.7699999999995
11413,131,11,7189.75
18173,40,9,7189.349999999999
15685,176,6,7188.37
17781,75,6,7187.37
15932,146,5,7186.389999999999
16829,102,7,7185.37
16828,90,8,7182.66
17209,161,4,7182.4
16822,120,6,7176.379999999999
17183,151,8,7175.86
11244,179,12,7175.75
13693,40,6,7171.58
16261,63,7,7170.87
15625,172,4,7169.389999999999
11243,219,12,7164.25
16204,72,5,7162.389999999999
13690,69,6,7162.08
16567,71,5,7159.7
13765,17,5,7152.089999999999
13777,18,7,7147.07
16830,144,6,7138.68
13784,22,4,7138.099999999999
11247,150,12,7131.509999999999
16598,110,4,7131.4
11250,161,11,7116.25
15094,58,7,7108.8724999999995
12037,127,8,7107.099999999999
14203,136,9,7081.4625
11422,72,10,7075.2699999999995
11548,64,9,7068.2699999999995
15082,224,8,7068.0824999999995
16587,140,10,7063.5625
11996,165,11,7058.7
11485,124,7,7048.299999999999
18177,36,9,7043.5625
11999,165,9,7043.2699999999995
14976,219,5,7040.612499999999
11997,153,7,7029.779999999999
15626,191,8,7029.072499999999
12007,115,8,7023.779999999999
11549,33,9,7023.7699999999995
13012,88,9,7017.439600000001
14773,199,5,7015.612499999999
17825,32,9,7015.5525
11496,70,7,7013.789999999999
14790,211,8,7004.572499999999
16298,105,9,7000.8725
16603,155,9,7000.5525
15637,98,8,6999.5725
15084,171,7,6999.0925
14424,111,7,6998.862499999999
17199,160,9,6997.5625
16588,131,8,6994.5824999999995
16575,134,8,6994.572499999999
17811,42,7,6989.5824999999995
15624,113,7,6989.5824999999995
17225,75,8,6986.8724999999995
11388,263,7,6986.749999999999
12005,150,6,6984.8099999999995
18127,56,8,6982.0725
14931,200,10,6980.8525
17207,53,9,6979.5625
15926,189,9,6978.5625
17192,84,6,6977.5824999999995
15117,169,9,6974.5625
15697,196,10,6974.5425
17202,61,9,6974.0625
15687,19,6,6973.8724999999995
11494,106,5,6973.8099999999995
18141,29,8,6972.8625
15699,156,8,6969.572499999999
11400,179,8,6967.78
14031,35,8,6964.4182
15684,197,8,6963.072499999999
13625,77,6,6962.138199999999
11998,139,7,6962.099999999999
15928,175,7,6960.0824999999995
11468,146,4,6959.82
11387,288,6,6958.799999999999
11493,124,6,6958.799999999999
15086,144,9,6958.5725
12216,28,9,6955.4096
17185,80,8,6954.572499999999
16826,144,8,6953.5825
15100,191,6,6952.5824999999995
17203,59,8,6952.5325
17182,92,5,6950.6025
16205,64,7,6950.5725
16262,32,8,6949.572499999999
18126,53,7,6945.5824999999995
15929,126,7,6944.5825
17181,145,7,6944.5824999999995
15627,140,7,6943.5824999999995
15101,179,7,6943.5525
16203,88,8,6939.8724999999995
16824,167,6,6938.5925
19032,32,7,6938.5824999999995
17103,50,7,6935.0824999999995
15927,196,6,6932.9025
15933,126,7,6931.8825
18147,26,6,6930.5925
18135,58,6,6921.5824999999995
16286,43,4,6920.612499999999
15114,176,7,6918.8724999999995
17093,47,5,6917.5925
16199,148,5,6917.5925
16307,85,5,6917.5925
15702,135,7,6917.5425
12988,85,7,6915.4382000000005
17220,141,7,6914.8525
18160,32,6,6914.5925
12335,298,9,6912.598199999999
12702,99,9,6911.098199999999
16309,106,6,6910.5925
12222,38,8,6909.098199999999
13626,62,9,6909.088199999999
17218,53,9,6907.5625
18168,27,6,6907.5525
16448,90,6,6906.8925
13082,64,8,6906.3896
12348,124,10,6906.0882
14030,35,5,6905.4696
18136,54,5,6904.6025
15693,174,5,6904.6025
12685,97,8,6904.1082
13407,234,8,6904.098199999999
12239,28,8,6901.4196
16595,129,7,6901.3825
17191,154,4,6895.6125
13104,50,8,6894.4396
12684,87,10,6893.0782
12703,103,8,6891.1182
12215,24,9,6890.7296
16297,82,4,6889.6125
13629,56,7,6889.1082
13955,30,8,6888.4396
12647,269,9,6886.598199999999
13132,66,9,6880.6182
12680,119,10,6880.098199999999
13965,25,9,6872.3896
